task_id,task_generation_config_json,env,domain,suggested_difficulty,suggested_hint,suggested_max_steps,suggested_split,metadata_json
navi_bench/recreation/filters/0,"{""_target_"": ""navi_bench.recreation.recreation_url_match.generate_task_config"", ""url"": ""https://www.recreation.gov/search"", ""task"": ""Search for pet-friendly tent camping near Yosemite Valley, California. Apply the camping inventory type, tent campsite type, and pet friendly key characteristic filters."", ""location"": ""California, United States"", ""timezone"": ""America/Los_Angeles"", ""gt_url"": ""https://www.recreation.gov/search?q=Yosemite%20Valley%2C%20California&inventory_type=camping&campsite_type=tent&key_characteristics=pet%20friendly""}",real,recreation,medium,null,20,validation,null
navi_bench/recreation/filters/1,"{""_target_"": ""navi_bench.recreation.recreation_url_match.generate_task_config"", ""url"": ""https://www.recreation.gov/search"", ""task"": ""Search for camping in California. Apply the waterfront amenity, pet friendly key characteristic, and distance sort filters."", ""location"": ""California, United States"", ""timezone"": ""America/Los_Angeles"", ""gt_url"": ""https://www.recreation.gov/search?q=California&inventory_type=camping&amenities=waterfront&key_characteristics=pet%20friendly&sort=distance""}",real,recreation,medium,null,20,validation,null
navi_bench/recreation/filters/2,"{""_target_"": ""navi_bench.recreation.recreation_url_match.generate_task_config"", ""url"": ""https://www.recreation.gov/search"", ""task"": ""Search for day use options in Florida. Apply the shade amenity, accessibility key characteristic, and best match sort filters."", ""location"": ""Florida, United States"", ""timezone"": ""America/New_York"", ""gt_url"": ""https://www.recreation.gov/search?q=Florida&inventory_type=day%20use&amenities=shade&key_characteristics=accessibility&sort=score""}",real,recreation,medium,null,20,validation,null
navi_bench/recreation/filters/3,"{""_target_"": ""navi_bench.recreation.recreation_url_match.generate_task_config"", ""url"": ""https://www.recreation.gov/search"", ""task"": ""Search for recreation areas in Texas. Apply the fire pit amenity, group site key characteristic, and rating sort filters."", ""location"": ""Texas, United States"", ""timezone"": ""America/Chicago"", ""gt_url"": ""https://www.recreation.gov/search?q=Texas&inventory_type=rec%20areas&amenities=fire%20pit&key_characteristics=group%20site&sort=average_rating""}",real,recreation,medium,null,20,validation,null
navi_bench/recreation/filters/4,"{""_target_"": ""navi_bench.recreation.recreation_url_match.generate_task_config"", ""url"": ""https://www.recreation.gov/search"", ""task"": ""Search for permits in Colorado. Apply the showers amenity, accessibility key characteristic, and price sort filters."", ""location"": ""Colorado, United States"", ""timezone"": ""America/Denver"", ""gt_url"": ""https://www.recreation.gov/search?q=Colorado&inventory_type=permits&amenities=showers&key_characteristics=accessibility&sort=price%20asc""}",real,recreation,medium,null,20,validation,null
navi_bench/recreation/filters/5,"{""_target_"": ""navi_bench.recreation.recreation_url_match.generate_task_config"", ""url"": ""https://www.recreation.gov/search"", ""task"": ""Search for tickets and tours in New York. Apply the waterfront amenity, pet friendly key characteristic, and mobile coverage sort filters."", ""location"": ""New York, United States"", ""timezone"": ""America/New_York"", ""gt_url"": ""https://www.recreation.gov/search?q=New%20York&inventory_type=tickets%20%26%20tours&amenities=waterfront&key_characteristics=pet%20friendly&sort=aggregate_cell_coverage""}",real,recreation,medium,null,20,validation,null
navi_bench/recreation/filters/6,"{""_target_"": ""navi_bench.recreation.recreation_url_match.generate_task_config"", ""url"": ""https://www.recreation.gov/search"", ""task"": ""Search for points of interest in Arizona. Apply the flush toilet amenity, accessibility key characteristic, and distance sort filters."", ""location"": ""Arizona, United States"", ""timezone"": ""America/Phoenix"", ""gt_url"": ""https://www.recreation.gov/search?q=Arizona&inventory_type=points%20%20of%20interest&amenities=flush%20toilet&key_characteristics=accessibility&sort=distance""}",real,recreation,medium,null,20,validation,null
navi_bench/recreation/filters/7,"{""_target_"": ""navi_bench.recreation.recreation_url_match.generate_task_config"", ""url"": ""https://www.recreation.gov/search"", ""task"": ""Search for venues in Nevada. Apply the shade amenity, group site key characteristic, and rating sort filters."", ""location"": ""Nevada, United States"", ""timezone"": ""America/Los_Angeles"", ""gt_url"": ""https://www.recreation.gov/search?q=Nevada&inventory_type=venues&amenities=shade&key_characteristics=group%20site&sort=average_rating""}",real,recreation,medium,null,20,validation,null
navi_bench/recreation/filters/8,"{""_target_"": ""navi_bench.recreation.recreation_url_match.generate_task_config"", ""url"": ""https://www.recreation.gov/search"", ""task"": ""Search for camping in Washington. Apply the water hookup amenity, pet friendly key characteristic, and price sort filters."", ""location"": ""Washington, United States"", ""timezone"": ""America/Los_Angeles"", ""gt_url"": ""https://www.recreation.gov/search?q=Washington&inventory_type=camping&amenities=water%20hookup&key_characteristics=pet%20friendly&sort=price%20asc""}",real,recreation,medium,null,20,validation,null
navi_bench/recreation/filters/9,"{""_target_"": ""navi_bench.recreation.recreation_url_match.generate_task_config"", ""url"": ""https://www.recreation.gov/search"", ""task"": ""Search for day use options in Utah. Apply the fire pit amenity, accessibility key characteristic, and best match sort filters."", ""location"": ""Utah, United States"", ""timezone"": ""America/Denver"", ""gt_url"": ""https://www.recreation.gov/search?q=Utah&inventory_type=day%20use&amenities=fire%20pit&key_characteristics=accessibility&sort=score""}",real,recreation,medium,null,20,validation,null
navi_bench/recreation/filters/10,"{""_target_"": ""navi_bench.recreation.recreation_url_match.generate_task_config"", ""url"": ""https://www.recreation.gov/search"", ""task"": ""Search for recreation areas in Oregon. Apply the waterfront amenity, group site key characteristic, and distance sort filters."", ""location"": ""Oregon, United States"", ""timezone"": ""America/Los_Angeles"", ""gt_url"": ""https://www.recreation.gov/search?q=Oregon&inventory_type=rec%20areas&amenities=waterfront&key_characteristics=group%20site&sort=distance""}",real,recreation,medium,null,20,validation,null
navi_bench/recreation/filters/11,"{""_target_"": ""navi_bench.recreation.recreation_url_match.generate_task_config"", ""url"": ""https://www.recreation.gov/search"", ""task"": ""Search for permits in Montana. Apply the showers amenity, pet friendly key characteristic, and rating sort filters."", ""location"": ""Montana, United States"", ""timezone"": ""America/Denver"", ""gt_url"": ""https://www.recreation.gov/search?q=Montana&inventory_type=permits&amenities=showers&key_characteristics=pet%20friendly&sort=average_rating""}",real,recreation,medium,null,20,validation,null
navi_bench/recreation/filters/12,"{""_target_"": ""navi_bench.recreation.recreation_url_match.generate_task_config"", ""url"": ""https://www.recreation.gov/search"", ""task"": ""Search for tickets and tours in Hawaii. Apply the waterfront amenity, accessibility key characteristic, and price sort filters."", ""location"": ""Hawaii, United States"", ""timezone"": ""Pacific/Honolulu"", ""gt_url"": ""https://www.recreation.gov/search?q=Hawaii&inventory_type=tickets%20%26%20tours&amenities=waterfront&key_characteristics=accessibility&sort=price%20asc""}",real,recreation,medium,null,20,validation,null
navi_bench/recreation/filters/13,"{""_target_"": ""navi_bench.recreation.recreation_url_match.generate_task_config"", ""url"": ""https://www.recreation.gov/search"", ""task"": ""Search for points of interest in Alaska. Apply the shade amenity, pet friendly key characteristic, and mobile coverage sort filters."", ""location"": ""Alaska, United States"", ""timezone"": ""America/Anchorage"", ""gt_url"": ""https://www.recreation.gov/search?q=Alaska&inventory_type=points%20%20of%20interest&amenities=shade&key_characteristics=pet%20friendly&sort=aggregate_cell_coverage""}",real,recreation,medium,null,20,validation,null
navi_bench/recreation/filters/14,"{""_target_"": ""navi_bench.recreation.recreation_url_match.generate_task_config"", ""url"": ""https://www.recreation.gov/search"", ""task"": ""Search for venues in Illinois. Apply the flush toilet amenity, accessibility key characteristic, and best match sort filters."", ""location"": ""Illinois, United States"", ""timezone"": ""America/Chicago"", ""gt_url"": ""https://www.recreation.gov/search?q=Illinois&inventory_type=venues&amenities=flush%20toilet&key_characteristics=accessibility&sort=score""}",real,recreation,medium,null,20,validation,null
navi_bench/recreation/filters/15,"{""_target_"": ""navi_bench.recreation.recreation_url_match.generate_task_config"", ""url"": ""https://www.recreation.gov/search"", ""task"": ""Search for camping in Tennessee. Apply the sewer hookup amenity, group site key characteristic, and distance sort filters."", ""location"": ""Tennessee, United States"", ""timezone"": ""America/Chicago"", ""gt_url"": ""https://www.recreation.gov/search?q=Tennessee&inventory_type=camping&amenities=sewer%20hookup&key_characteristics=group%20site&sort=distance""}",real,recreation,medium,null,20,validation,null
navi_bench/recreation/filters/16,"{""_target_"": ""navi_bench.recreation.recreation_url_match.generate_task_config"", ""url"": ""https://www.recreation.gov/search"", ""task"": ""Search for day use options in Maine. Apply the waterfront amenity, pet friendly key characteristic, and rating sort filters."", ""location"": ""Maine, United States"", ""timezone"": ""America/New_York"", ""gt_url"": ""https://www.recreation.gov/search?q=Maine&inventory_type=day%20use&amenities=waterfront&key_characteristics=pet%20friendly&sort=average_rating""}",real,recreation,medium,null,20,validation,null
navi_bench/recreation/filters/17,"{""_target_"": ""navi_bench.recreation.recreation_url_match.generate_task_config"", ""url"": ""https://www.recreation.gov/search"", ""task"": ""Search for recreation areas in Michigan. Apply the fire pit amenity, accessibility key characteristic, and price sort filters."", ""location"": ""Michigan, United States"", ""timezone"": ""America/Detroit"", ""gt_url"": ""https://www.recreation.gov/search?q=Michigan&inventory_type=rec%20areas&amenities=fire%20pit&key_characteristics=accessibility&sort=price%20asc""}",real,recreation,medium,null,20,validation,null
navi_bench/recreation/filters/18,"{""_target_"": ""navi_bench.recreation.recreation_url_match.generate_task_config"", ""url"": ""https://www.recreation.gov/search"", ""task"": ""Search for permits in Idaho. Apply the shade amenity, group site key characteristic, and mobile coverage sort filters."", ""location"": ""Idaho, United States"", ""timezone"": ""America/Boise"", ""gt_url"": ""https://www.recreation.gov/search?q=Idaho&inventory_type=permits&amenities=shade&key_characteristics=group%20site&sort=aggregate_cell_coverage""}",real,recreation,medium,null,20,validation,null
navi_bench/recreation/filters/19,"{""_target_"": ""navi_bench.recreation.recreation_url_match.generate_task_config"", ""url"": ""https://www.recreation.gov/search"", ""task"": ""Search for tickets and tours in Virginia. Apply the flush toilet amenity, pet friendly key characteristic, and distance sort filters."", ""location"": ""Virginia, United States"", ""timezone"": ""America/New_York"", ""gt_url"": ""https://www.recreation.gov/search?q=Virginia&inventory_type=tickets%20%26%20tours&amenities=flush%20toilet&key_characteristics=pet%20friendly&sort=distance""}",real,recreation,medium,null,20,validation,null
navi_bench/recreation/filters/20,"{""_target_"": ""navi_bench.recreation.recreation_url_match.generate_task_config"", ""url"": ""https://www.recreation.gov/search"", ""task"": ""Search for points of interest in New Mexico. Apply the showers amenity, accessibility key characteristic, and rating sort filters."", ""location"": ""New Mexico, United States"", ""timezone"": ""America/Denver"", ""gt_url"": ""https://www.recreation.gov/search?q=New%20Mexico&inventory_type=points%20%20of%20interest&amenities=showers&key_characteristics=accessibility&sort=average_rating""}",real,recreation,medium,null,20,validation,null
navi_bench/recreation/filters/21,"{""_target_"": ""navi_bench.recreation.recreation_url_match.generate_task_config"", ""url"": ""https://www.recreation.gov/search"", ""task"": ""Search for venues in South Carolina. Apply the water hookup amenity, group site key characteristic, and price sort filters."", ""location"": ""South Carolina, United States"", ""timezone"": ""America/New_York"", ""gt_url"": ""https://www.recreation.gov/search?q=South%20Carolina&inventory_type=venues&amenities=water%20hookup&key_characteristics=group%20site&sort=price%20asc""}",real,recreation,medium,null,20,validation,null
navi_bench/recreation/filters/22,"{""_target_"": ""navi_bench.recreation.recreation_url_match.generate_task_config"", ""url"": ""https://www.recreation.gov/search"", ""task"": ""Search for camping in Wyoming. Apply the electrical hookup 30 amp filter, accessibility key characteristic, and mobile coverage sort filters."", ""location"": ""Wyoming, United States"", ""timezone"": ""America/Denver"", ""gt_url"": ""https://www.recreation.gov/search?q=Wyoming&inventory_type=camping&electrical_hookup=30%20amp&key_characteristics=accessibility&sort=aggregate_cell_coverage""}",real,recreation,medium,null,20,validation,null
navi_bench/recreation/filters/23,"{""_target_"": ""navi_bench.recreation.recreation_url_match.generate_task_config"", ""url"": ""https://www.recreation.gov/search"", ""task"": ""Search for day use options in Georgia. Apply the waterfront amenity, group site key characteristic, and best match sort filters."", ""location"": ""Georgia, United States"", ""timezone"": ""America/New_York"", ""gt_url"": ""https://www.recreation.gov/search?q=Georgia&inventory_type=day%20use&amenities=waterfront&key_characteristics=group%20site&sort=score""}",real,recreation,medium,null,20,validation,null
navi_bench/recreation/filters/24,"{""_target_"": ""navi_bench.recreation.recreation_url_match.generate_task_config"", ""url"": ""https://www.recreation.gov/search"", ""task"": ""Search for recreation areas in North Carolina. Apply the fire pit amenity, pet friendly key characteristic, and distance sort filters."", ""location"": ""North Carolina, United States"", ""timezone"": ""America/New_York"", ""gt_url"": ""https://www.recreation.gov/search?q=North%20Carolina&inventory_type=rec%20areas&amenities=fire%20pit&key_characteristics=pet%20friendly&sort=distance""}",real,recreation,medium,null,20,validation,null
